avg_value_EUR,case_vendor,case_PR_NPR,case_product_type,case_product_specific,rework_activities,payment_block,automation,avg_vendor_workload,num_items,throughput
134.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,49.27272727272727,1,84
300.5,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,13.40277777777778,2,216
769.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.647058823529412,2,216
598.5,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,9.121951219512194,2,183
581.5,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,3.7142857142857135,2,182
14148.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,1,14.285714285714285,1.0,1,216
1819.5,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,6.32258064516129,2,216
32303.0,_other_vendor,PR,Additives,Extenders,0.0,1,0.0,1.0625,1,112
4140.0,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,6.105263157894737,1,111
7699.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,2.1538461538461537,2,83
10116.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.0,1,85
1848.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,1.2,1,154
272.4347826086956,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,23,278
170.72727272727272,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,11,155
23013.0,_other_vendor,PR,Additives,_other_specific_type,1.0,0,0.0,1.0,1,112
580.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,1.1111111111111112,1,154
2401.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,40.0,1.0,1,278
109493.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,20.0,1.3333333333333333,1,126
3710.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,2.973684210526316,1,94
