event_value_EUR,case_vendor,case_PR_NPR,case_product_type,case_product_specific,rework_activities,payment_block,automation,avg_vendor_workload,throughput
134.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,49.27272727272727,84
212.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,13.40277777777778,216
389.0,_other_vendor,PR,Packaging,Labels,0.0,0,0.0,13.40277777777778,216
266.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.647058823529412,216
1272.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,25.0,3.647058823529412,216
528.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,9.121951219512194,183
669.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,9.121951219512194,183
583.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,3.7142857142857135,182
580.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,3.7142857142857135,182
14148.0,_other_vendor,PR,_other_product_type,_other_specific_type,2.0,1,14.285714285714285,1.0,216
2975.0,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,6.32258064516129,216
664.0,_other_vendor,PR,Packaging,Containers,1.0,1,0.0,6.192771084337349,168
32303.0,_other_vendor,PR,Additives,Extenders,0.0,1,0.0,1.0625,112
4140.0,_other_vendor,PR,Packaging,Containers,0.0,1,0.0,6.105263157894737,111
11719.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,2.1538461538461537,83
3679.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,25.0,2.1538461538461537,83
10116.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,1.0,85
1848.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,1.2,154
32.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
55.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
180.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,20.0,34.806451612903224,56
507.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
196.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
351.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
318.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
104.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
314.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
257.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
392.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
455.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
329.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
37.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
405.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
473.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
183.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
536.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
241.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
478.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
312.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
47.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
64.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,29.451612903225808,278
184.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
84.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
98.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
65.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
119.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
793.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
127.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
150.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
25.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
92.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
141.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,0,0.0,33.73076923076923,155
23013.0,_other_vendor,PR,Additives,_other_specific_type,1.0,0,0.0,1.0,112
580.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,0.0,1.1111111111111112,154
2401.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,0,40.0,1.0,278
109493.0,_other_vendor,PR,_other_product_type,_other_specific_type,0.0,1,20.0,1.3333333333333333,126
3710.0,_other_vendor,PR,Additives,_other_specific_type,0.0,1,0.0,2.973684210526316,94
2572.0,_other_vendor,PR,Packaging,_other_specific_type,0.0,0,0.0,5.381818181818182,124
201.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
371.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
449.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
65.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
69.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
499.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
520.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
117.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
98.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
74.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
162.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,36.333333333333336,214
26.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,5.393939393939394,124
40.0,_other_vendor,_NPR,Sales,Products for Resale,0.0,1,0.0,5.393939393939394,124
